Category,Custom Name,ASIN,Country Code,Product Title,Product Review URL,Review Rating,Review Date,Reviewer URL,Reviewer Name,Reviewer ID,Review Title,Review Text,Verified Review,Variation ASIN,Deleted,Colour,Size name
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R2NZ2A8OG22QW0,5,30-04-2020,https://www.amazon.in/gp/profile/amzn1.account.AEV5QJRLGJAX7B57RQEAD4CIXGSQ,Karan Prajapati,AEV5QJRLGJAX7B57RQEAD4CIXGSQ,Nyc,Nyc,Yes,B07X2KLYSF,Not Deleted,Electric Blue,6+64GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R3HIORHRK5Z69Q,5,30-04-2020,https://www.amazon.in/gp/profile/amzn1.account.AEEAF2B4KKIL46VAD5XARSWA5IDQ,Sapna,AEEAF2B4KKIL46VAD5XARSWA5IDQ,M not happy with this device,"I am a student and I always need  hotspot for connect my pc but this device never connect with my pc,,,,,,,,, I also launge a complain bt no revert from mi service center.",Yes,B07X2KLKRZ,Not Deleted,Shadow Black,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R3O4B3H2CHVISV,5,30-04-2020,https://www.amazon.in/gp/profile/amzn1.account.AFM4APU2NMWGSJDX2OL6QR6C7M4Q,kundan singh,AFM4APU2NMWGSJDX2OL6QR6C7M4Q,Good,Good,Yes,B07X1KT6LW,Not Deleted,Halo White,6+64GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R3APAJUN4TYUKA,5,30-04-2020,https://www.amazon.in/gp/profile/amzn1.account.AG32FWAROVXJXJEFGP3UP2YNF6SQ,dinesh pol,AG32FWAROVXJXJEFGP3UP2YNF6SQ,Nice phone,All r gud,Yes,B07X1KSLBV,Not Deleted,Gamma Green,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R1TI31JV2T8DMS,5,30-04-2020,https://www.amazon.in/gp/profile/amzn1.account.AHPOSF3TYYJLGKJU3YNDQ4DLWYPA,ABHISHEK,AHPOSF3TYYJLGKJU3YNDQ4DLWYPA,8115372431,One Pics,No,B07X4PKGSN,Not Deleted,Halo White,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R31M414F6TXTB6,5,30-04-2020,https://www.amazon.in/gp/profile/amzn1.account.AFGVCFR4A7EWSZZLSDLGYIAARN7A,sreenath,AFGVCFR4A7EWSZZLSDLGYIAARN7A,Very good,Very good phone with in budget..,Yes,B07X4R4F47,Not Deleted,Electric Blue,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R2G458BU1UOFHC,5,29-04-2020,https://www.amazon.in/gp/profile/amzn1.account.AGUBEXMDF26KWE3IHCWKNIHCDZAA,Jyothi,AGUBEXMDF26KWE3IHCWKNIHCDZAA,Good product..must buy,Good product... everything (features) is same as they mentioned..battery life is little less than expected.,Yes,B07X4PKGSN,Not Deleted,Halo White,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R30FV47B4H8HSF,5,29-04-2020,https://www.amazon.in/gp/profile/amzn1.account.AGEIXTCXU2PMD7KQDVG2T6SR3JUQ,Vineet maddeshiya,AGEIXTCXU2PMD7KQDVG2T6SR3JUQ,Nice😄,Silver🥈 nice,No,B07X2KLYSF,Not Deleted,Electric Blue,6+64GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R1B3SYBFIJHZ3M,5,29-04-2020,https://www.amazon.in/gp/profile/amzn1.account.AGWJ4PTS2YRE4PP6RLVRARVBXFWA,Shyamak shukla,AGWJ4PTS2YRE4PP6RLVRARVBXFWA,Must buy,Every thing is very good in this phone I have been using it for last 3 months and I like this very much,Yes,B07X4R4F47,Not Deleted,Electric Blue,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R2J4QY4OV2I8U1,5,29-04-2020,https://www.amazon.in/gp/profile/amzn1.account.AFRNASGBWKBZOENKTPJVZHAT4PEA,Anil Kumar Advocate,AFRNASGBWKBZOENKTPJVZHAT4PEA,Best camera phone,Very nice phone,Yes,B07X4PXKZQ,Not Deleted,Gamma Green,6+64GB
