"id","profileName","text","date","title","rating","images"
"R2VRVKU6XD9G4V","Neetasharma","
  very good phone in this price range...good battery life,nyc camera,just one issue touch is not so good.....it would be better if they give 90 hz.......overall good phone👌👌👌😊
","Reviewed in India on 10 July 2020","go for it.......👍👍",4,""
"R1ZXZYYQVADQS4","Rahul Kumar","
  Nice phone it's run fast and I like it's camera quality it's to good, it's battery life is to good, if the phone battery get 100 ℅ charged u can use it upto 10 hours. #Milove
","Reviewed in India on 2 April 2020","Love mi",5,""
"R28O7R7DUJVR9E","Sanjeev kumar","
  Awesome
","Reviewed in India on 15 July 2020","Awesome mind blowing",5,""
"R1VFFYXJMWOHQY","shoeb","
  Battery drain fast when using internet, disappointed with battery performance
","Reviewed in India on 24 July 2020","Disappointed with battery performance",4,""
"R1NUNYQXAJVABD","ramit","
  THIS MOBILE IS VERY NICE ALL FEATURES ARE BEST AS COMPAIR WITH OTHER MOBILE COMPANIES
","Reviewed in India on 29 July 2020","BEST MOBILE",5,""
"R362TDAGKGO2AO","Dhananjay Borban","
  Best phone in this range . According to me just buy it . It fulfills all parameters .
","Reviewed in India on 4 August 2020","Best phone in this range",5,"https://images-na.ssl-images-amazon.com/images/I/51tU1h-OK6L.jpg
https://images-na.ssl-images-amazon.com/images/I/71mIuPIeDVL.jpg"
"R3SP0FL6R9EK1N","Rinchen Dorjee Kaleon","
  Good product
","Reviewed in India on 16 June 2020","Nice buy",5,""
"R3QZ3Q1BEMVNQZ","Balchand JHA","
  I am used this phone 30 days thanks for the Redmi(MI) , its a very Good Hardware used and Good performance of the phone , I am biggest fan of MI phones ,This Is the best of the price
","Reviewed in India on 31 March 2020","Best Performance Phone",5,""
"R1RPL4ZBPYV656","Alhan khan","
  A fantastic phone in This Price Range
","Reviewed in India on 29 July 2020","HOT",5,""
"RWIN8BNGJ1TEH","Tushar","
  This mobile is awesome ,nice ,best under 15000 and you should also buy this!!
","Reviewed in India on 21 July 2020","Buy before reading this!!!",5,""
"RBQ5B3O1VLO1I","user","
  Value for money!
","Reviewed in India on 1 June 2020","Value for money!",4,""
"R1E1SJZVR2LR3R","Roni pramanik","
  Worst  by mi Camara  lower quality then Samsung m30s
","Reviewed in India on 19 July 2020","Worst",1,""
"RLB7NJTL15GE5","Faraz","
  Phone Ui is Quite smooth and Camera Quality is decent Battery life. Is good
","Reviewed in India on 28 July 2020","DECENT PRO",5,""
"RZLS5VMNL8Q92","RAVI KUMAR UIKE","
  Fingerprint I like it new function, battery life is good and camra quality awesome.
","Reviewed in India on 25 July 2020","Yes, it is good for me.",5,""
"R359ANT3FMLW5O","CHURAMANI","
  Like this
","Reviewed in India on 3 June 2020","Like this",5,""
"R3HMG6XK31S09H","Bhuvnesh Mehta","
  battery backup is very good camera is very good and fingerprint sensor is very fast
","Reviewed in India on 5 July 2020","Best  mobile in this price range",5,""
"R31ZCFTIQDAMNH","Nagaraju R","
  Vibration is too low
","Reviewed in India on 21 March 2020","Camera battery is very good",2,""
"RETTH933NGW51","Sk Ased Ali","
  Product quality is good but I want change my shipping address, Amazon facility does not exist this advantage.
","Reviewed in India on 11 July 2020","I want change my shipping address, Amazon facility does not exist this advantage.",5,""
"R2BG6R8ZQVNUCJ","Keval Jagatiya","
  Mobail is nice but his betrry is bad. Very fast charging lowest.. Camera is so nice in others products. Display is nice. Nice look.all is nice very very nice mobail ...
","Reviewed in India on 16 May 2020","Batrry problem fast charging low..",4,""
"R18WRV6GEZ6NWI","vaibhav J.","
  Best features at this price
","Reviewed in India on 26 July 2020","Best in budget",4,""
"R2BFU3M0CDC4YK","amith","
  A flagship feel with comfortable design.camera performance need to be improved,have some bugs in the ui,provided with a massive battery . Overall a great feel.
","Reviewed in India on 14 May 2020","Value for money",5,""
"R1H493R4A7XSA0","Shivansh Yadav","
  Best phone in this range.According to me it is the best in this range.I have been using Xiaomi from last 8 years and I just want to tell that they are the best
","Reviewed in India on 14 May 2020","Just mind blowing...A rocket**",5,"https://images-na.ssl-images-amazon.com/images/I/71jzFOE0fYL.jpg"
"R3L11NFNQ0QFAI","sanjay","
  nice productyou can do all things in this mobile
","Reviewed in India on 8 July 2020","nice product",5,"https://images-na.ssl-images-amazon.com/images/I/61SzMxB1bcL.jpg
https://images-na.ssl-images-amazon.com/images/I/61sinQ6qjpL.jpg
https://images-na.ssl-images-amazon.com/images/I/71YWLDaX7kL.jpg"
"R3W3WXKDSZAXMS","Raj","
  Good battery life Good fingerprint readerLow value of money
","Reviewed in India on 4 April 2020","good battery life redmi note 9 pro  ## mi best",5,""
"RPK8HD8ZXLYC6","Nishant","
  Osm
","Reviewed in India on 22 March 2020","Sexy",5,""
"R10DHUF9YW0NRY","AITHABATHULA JYOTHI","
  Not recommended to take this brand phone, please choose another brand. Worst phone
","Reviewed in India on 25 June 2020","Not recommended to take this brand phone, please choose another brand. Worst phone",2,""
"R3LUXM9D3EXLSL","Amazon Customer","
  Best phone for everything gaming, camera, display perfect phone at this range
","Reviewed in India on 23 July 2020","Best budget phone",5,""
"R38KOII0KBUN6O","Maroof Ali","
  It's a good phone but better options available in market.
","Reviewed in India on 5 May 2020","Okay product",3,""
"R2BQ8SX01FLF7Q","Amazon customer","
  Good
","Reviewed in India on 4 July 2020","Good",5,""
"R2H96K6P8QTUT2","Dil kumar","
  Very good 👍
","Reviewed in India on 1 June 2020","👍👍👍👍",5,""
"R1KTR4MCPUWXX2","Bhagat Singh ","
  Overall all-rounder phone this is my repeat purchase.First in March and now in may,👍👍👍.
","Reviewed in India on 17 May 2020","Great Product in this price.",5,""
"RESUXAAN0NKKM","Mangal deep majhi","
  Thanks for the mobile 👍👍👍👍👍👍❤️❤️❤️❤️❤️# love you Amazon
","Reviewed in India on 14 July 2020","Buy it now",5,""
"R2SW1ENQ2TRUYT","Bhavesh","
  Super quality and awesome camera and batter than realme 6All comparisons is wrong real in hand feel batter than realme 6 camera performance is very batter realme 6
","Reviewed in India on 29 May 2020","All performance is good",5,"https://images-na.ssl-images-amazon.com/images/I/71mxJ1PB9hL.jpg
https://images-na.ssl-images-amazon.com/images/I/81amt6iq-1L.jpg"
"RHIB1TV8JFT5H","Vivek suyal","
  Excellent value for money product. Bindly go for it and u will never regret ur choice. Except charging time everything is superb. Highly recommendable😘
","Reviewed in India on 30 May 2020","Excellent value",4,""
"R9MQBHX5IOXC8","mavilla anjaneyulu","
  Overall mobile is good but slightly high price... Other than this it's okay
","Reviewed in India on 27 July 2020","If it's priced at 12.5k then you can definitely go for it",4,""
"RIDTGBGBIU1BU","faisal","
  Not Good Mobile This Budget
","Reviewed in India on 25 July 2020","Not Perfect",2,""
